cache,ratio,attack,num_banks,num_attacks,format,plot
ceaser,0.3,region0,2,2,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.3_attack-region0_banks2_attack2_delta_misses_single.png
ceaser,0.5,region0,2,2,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-region0_banks2_attack2_delta_misses_single.png
ceaser,0.5,simultaneous,2,2,dual,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks2_attack2_delta_misses_dual.png
ceaser,0.5,simultaneous,4,1,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks4_attack1_delta_misses_single.png
ceaser,0.5,simultaneous,4,4,multi,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks4_attack4_delta_misses_multi.png
ceaser,0.5,simultaneous,8,1,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks8_attack1_delta_misses_single.png
ceaser,0.5,simultaneous,8,8,multi,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks8_attack8_delta_misses_multi.png
ceaser,0.5,simultaneous,16,1,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks16_attack1_delta_misses_single.png
ceaser,0.5,simultaneous,16,16,multi,results/ceaser/plots_bit_diff_misses/ceaser_ratio-0.5_attack-simultaneous_banks16_attack16_delta_misses_multi.png
ceaser,1.0,region0,2,2,single,results/ceaser/plots_bit_diff_misses/ceaser_ratio-1.0_attack-region0_banks2_attack2_delta_misses_single.png
