cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
ceaser,1,0,0,1,0.0,0.0,0.0,0.0,0.0
ceaser,1,0,0,2,0.0,0.0,0.0,0.0,0.0
ceaser,1,0,0,5,0.0,0.0,0.0,0.0,0.0
ceaser,1,0,0,10,0.01,0.0196,0.02,0.0392,0.01
ceaser,1,0,0,15,0.26,0.15665144477953324,0.41,0.22303116238306114,0.14999999999999997
ceaser,1,0,0,20,1.95,0.39434400200737413,2.65,0.4828201246088161,0.7
ceaser,1,0,0,25,10.84,1.0062644542659707,13.64,1.1029606467516546,2.8000000000000007
ceaser,1,0,0,30,37.2,1.9328872212576218,45.69,2.138324441371247,8.489999999999995
ceaser,1,0,0,35,110.77,3.5452103118364517,129.68,3.8956600303829427,18.91000000000001
ceaser,1,0,0,40,262.44,5.3701615518840145,298.82,4.931880322632299,36.379999999999995
ceaser,2,0,0,1,0.0,0.0,0.0,0.0,0.0
ceaser,2,0,0,2,0.0,0.0,0.0,0.0,0.0
ceaser,2,0,0,5,0.0,0.0,0.0,0.0,0.0
ceaser,2,0,0,10,0.0,0.0,0.02,0.027578237650712777,0.02
ceaser,2,0,0,15,0.22,0.11680539630539596,0.38,0.16429269766197924,0.16
ceaser,2,0,0,20,1.55,0.37621501481697583,2.46,0.4237931342129797,0.9099999999999999
ceaser,2,0,0,25,7.3,0.7050388340905468,11.14,1.009460064899183,3.8400000000000007
ceaser,2,0,0,30,24.44,1.56014030138318,34.52,1.8532485247654873,10.080000000000002
ceaser,2,0,0,35,67.43,2.800445404978041,88.01,2.830112736163339,20.58
ceaser,2,0,0,40,155.44,4.3608866606540815,196.79,4.74925946533677,41.349999999999994
ceaser,2,"0,1",0,1,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",0,2,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",0,5,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",0,10,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",0,15,0.17,0.1044404890718909,0.24,0.13102254567343546,0.06999999999999998
ceaser,2,"0,1",0,20,1.26,0.3856327325894996,1.38,0.32221745841131966,0.11999999999999988
ceaser,2,"0,1",0,25,5.09,0.6267141426245754,6.63,0.6973771711117871,1.54
ceaser,2,"0,1",0,30,19.14,1.4215941565223829,23.4,1.6348768464414385,4.259999999999998
ceaser,2,"0,1",0,35,56.38,2.5152415410248317,64.74,2.6263113508331704,8.359999999999992
ceaser,2,"0,1",0,40,132.55,3.7888596882668724,151.67,3.8273447632751476,19.119999999999976
ceaser,2,"0,1",1,1,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",1,2,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",1,5,0.0,0.0,0.0,0.0,0.0
ceaser,2,"0,1",1,10,0.02,0.0392,0.01,0.0196,-0.01
ceaser,2,"0,1",1,15,0.2,0.13647688226926707,0.21,0.1285559831671821,0.009999999999999981
ceaser,2,"0,1",1,20,1.34,0.36665067513337213,1.69,0.44108908191182666,0.34999999999999987
ceaser,2,"0,1",1,25,5.27,0.7729616358559139,6.84,0.8952508989781649,1.5700000000000003
ceaser,2,"0,1",1,30,19.66,1.5436122630329996,23.55,1.550924064725754,3.8900000000000006
ceaser,2,"0,1",1,35,56.78,2.358191916865054,66.45,2.7116195540784487,9.670000000000002
ceaser,2,"0,1",1,40,136.8,3.6744357142535256,152.99,3.9103360777314373,16.189999999999998
ceaser,4,0,0,1,0.0,0.0,0.0,0.0,0.0
ceaser,4,0,0,2,0.0,0.0,0.0,0.0,0.0
ceaser,4,0,0,5,0.0,0.0,0.01,0.0196,0.01
ceaser,4,0,0,10,0.0,0.0,0.11,0.10384432015417518,0.11
