cache,num_banks,target_banks,bank,occupancy_pct,capacity_per_bank_lines,mean_capacity_normalized_delta_pct,ci95_capacity_normalized_delta_pct,mean_aggregate_raw_delta_misses,ci95_aggregate_raw_delta_misses,mean_aggregate_excess_miss_rate_pct,ci95_aggregate_excess_miss_rate_pct
ceaser_s,1,0,0,1,131072,0.0,0.0,0.0,0.0,0.0,0.0
ceaser_s,1,0,0,2,131072,1.52587890625e-05,2.1040525551386093e-05,0.02,0.027578237650712777,0.0007630675314765356,0.0010522028863301325
ceaser_s,1,0,0,5,131072,8.392333984375e-05,0.00012190134318401758,0.11,0.15977852853815555,0.0016786204791698462,0.0024382500921433774
ceaser_s,1,0,0,10,131072,0.00159454345703125,0.0005497781022766976,2.09,0.7206051542161133,0.015945677882047763,0.005497864913527986
ceaser_s,1,0,0,15,131072,0.00615692138671875,0.0016031392439570281,8.07,2.101266669839356,0.04104781281790437,0.010688029856761731
ceaser_s,1,0,0,20,131072,0.01285552978515625,0.0028192297370429253,16.85,3.695220800936903,0.06427862973983367,0.014096363778656074
ceaser_s,1,0,0,25,131072,0.02472686767578125,0.00440807464963811,32.41,5.777751604773664,0.098907470703125,0.01763229859855244
ceaser_s,1,0,0,30,131072,0.045074462890625,0.006009875708067972,59.08,7.877264288078851,0.15025050227613743,0.020033224709643326
ceaser_s,1,0,0,35,131072,0.06884765625,0.007861191431330551,90.24,10.303820832873582,0.196708446866485,0.022460644867299356
ceaser_s,1,0,0,40,131072,0.1007232666015625,0.010442187093853856,132.02,13.686783467656127,0.2518120088502327,0.026105866078538424
ceaser_s,2,0,0,1,65536,3.0517578125e-05,4.2081051102772187e-05,0.02,0.027578237650712777,0.0030534351145038168,0.004210417961940883
ceaser_s,2,0,0,2,65536,7.62939453125e-05,9.85513948730141e-05,0.05,0.0645866421439785,0.0038167938931297713,0.004930278026257902
ceaser_s,2,0,0,5,65536,0.00030517578125,0.0002366760912356583,0.2,0.155108043152201,0.006105006105006104,0.004734677751898688
ceaser_s,2,0,0,10,65536,0.003143310546875,0.0010200393218647988,2.06,0.6684929699773147,0.03143598351899893,0.010201327178045394
ceaser_s,2,0,0,15,65536,0.010986328125,0.0022993797491002157,7.2,1.5069215123703175,0.07324516785350967,0.015329822099392851
ceaser_s,2,0,0,20,65536,0.030853271484375,0.004150075426106235,20.22,2.719793431252982,0.1542687113756008,0.020750693760990174
ceaser_s,2,0,0,25,65536,0.0570831298828125,0.006662024793769733,37.41,4.366024568844932,0.22833251953125,0.026648099175078932
ceaser_s,2,0,0,30,65536,0.0948028564453125,0.008358003107768141,62.13,5.477500916706928,0.3160223804679552,0.027861144032080003
ceaser_s,2,0,0,35,65536,0.1403656005859375,0.012569914636681456,91.99,8.23781925629556,0.4010550638706021,0.03591498128044453
ceaser_s,2,0,0,40,65536,0.2149658203125,0.01736744366500672,140.88,11.381927880298804,0.537422751201648,0.04341927168802474
ceaser_s,2,"0,1",0,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",1,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",0,2,65536,0.0,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",1,2,65536,0.0,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",0,5,65536,-4.57763671875e-05,0.0002102119373882471,0.02,0.16710292479411443,0.00030520372348542655,0.002550021742623447
ceaser_s,2,"0,1",1,5,65536,7.62939453125e-05,0.00012301723153120803,0.02,0.16710292479411443,0.00030520372348542655,0.002550021742623447
ceaser_s,2,"0,1",0,10,65536,0.0016937255859375,0.0009046327459175484,2.0,0.7532032067822539,0.015259021896696421,0.005746572112476188
ceaser_s,2,"0,1",1,10,65536,0.0013580322265625,0.0007825392359129682,2.0,0.7532032067822539,0.015259021896696421,0.005746572112476188
ceaser_s,2,"0,1",0,15,65536,0.0032958984375,0.002059226784933328,5.89,1.7267370894729794,0.029959308240081382,0.008782996385925635
ceaser_s,2,"0,1",1,15,65536,0.0056915283203125,0.0019441927979711865,5.89,1.7267370894729794,0.029959308240081382,0.008782996385925635
ceaser_s,2,"0,1",0,20,65536,0.015167236328125,0.0035605145128819815,18.98,3.299404487681578,0.07240405889982453,0.012586421330897907
