cache,num_banks,target_banks,bank,occupancy_pct,capacity_per_bank_lines,mean_capacity_normalized_delta_pct,ci95_capacity_normalized_delta_pct,mean_aggregate_raw_delta_misses,ci95_aggregate_raw_delta_misses,mean_aggregate_excess_miss_rate_pct,ci95_aggregate_excess_miss_rate_pct
mirage,1,0,0,1,131072,0.009796142578125,0.0009246699225529105,12.84,1.2119833608885506,0.9801526717557253,0.0925178138082863
mirage,1,0,0,2,131072,0.0213470458984375,0.0018877912688728253,27.98,2.4743657719369896,1.0675314765356732,0.09440540907809955
mirage,1,0,0,5,131072,0.04969024658203125,0.0030554743369046013,65.13,4.004871322867599,0.9938959255302913,0.06111508199095985
mirage,1,0,0,10,131072,0.09478759765625,0.0058016842794163855,124.24,7.604383618716646,0.9478904402227816,0.05801772807443843
mirage,1,0,0,15,131072,0.13784027099609375,0.008456826036061226,180.67,11.08453102198617,0.9189725330620548,0.05638113439463971
mirage,1,0,0,20,131072,0.2002716064453125,0.011444037259675131,262.5,14.999928517001388,1.0013733119707027,0.057221059422451336
mirage,1,0,0,25,131072,0.23290252685546875,0.013441220826537214,305.27,17.61767696175886,0.931610107421875,0.053764883306148856
mirage,1,0,0,30,131072,0.2847442626953125,0.016259369915378602,373.22,21.31148133548504,0.9491620253808396,0.05419872672486723
mirage,1,0,0,35,131072,0.31583404541015625,0.019581955924423827,413.97,25.6664612692608,0.9023869209809264,0.055948689415282395
mirage,1,0,0,40,131072,0.3515625,0.020904643766660735,460.8,27.40013467783756,0.8789196612497139,0.052262406877694276
mirage,2,0,0,1,65536,0.021759033203125,0.0020731755310383383,14.26,1.3586763160212856,2.1770992366412214,0.20743149862920385
mirage,2,0,0,2,65536,0.0370330810546875,0.0029419461870960626,24.27,1.9280338531752754,1.8526717557251908,0.14717815673093704
mirage,2,0,0,5,65536,0.0997314453125,0.005851418877928375,65.36,3.834785875839139,1.9951159951159954,0.11705695591694562
mirage,2,0,0,10,65536,0.1967620849609375,0.010173109534897539,128.95,6.66704906479045,1.9678010071722878,0.10174040996170382
mirage,2,0,0,15,65536,0.2900238037109375,0.011754693009983556,190.07,7.703555611022823,1.933570701932859,0.07836780886086289
mirage,2,0,0,20,65536,0.37109375,0.017780914601205407,243.2,11.652900193045975,1.8554970626382852,0.08890592960285323
mirage,2,0,0,25,65536,0.463836669921875,0.022182032293977243,303.98,14.537216684180924,1.8553466796875,0.08872812917590897
mirage,2,0,0,30,65536,0.5402374267578125,0.02138860976416734,354.05,14.017239295044707,1.8008646998982707,0.07129826701446952
mirage,2,0,0,35,65536,0.6168212890625,0.027185470373976107,404.24,17.81626986428898,1.762392640711514,0.07767480430871074
mirage,2,0,0,40,65536,0.712554931640625,0.029883018495712628,466.98,19.584135001350226,1.7814145113298239,0.07470868620336549
mirage,2,"0,1",0,1,65536,0.0089569091796875,0.0014475645657917088,12.25,1.4612629240945427,0.935114503816794,0.11154678809882008
mirage,2,"0,1",1,1,65536,0.009735107421875,0.0014438931116027797,12.25,1.4612629240945427,0.935114503816794,0.11154678809882008
mirage,2,"0,1",0,2,65536,0.02008056640625,0.00225843419819434,25.76,1.9194136411041172,0.9828309805417781,0.0732321114499854
mirage,2,"0,1",1,2,65536,0.01922607421875,0.002200599136860894,25.76,1.9194136411041172,0.9828309805417781,0.0732321114499854
mirage,2,"0,1",0,5,65536,0.0509490966796875,0.004822937730142984,65.71,4.129910030863905,1.002746833511369,0.06302319595397383
mirage,2,"0,1",1,5,65536,0.04931640625,0.005426907539793189,65.71,4.129910030863905,1.002746833511369,0.06302319595397383
mirage,2,"0,1",0,10,65536,0.1005859375,0.008276645010008864,125.04,7.576255708461799,0.9539940489814601,0.05780312587519493
mirage,2,"0,1",1,10,65536,0.0902099609375,0.008398293821697754,125.04,7.576255708461799,0.9539940489814601,0.05780312587519493
mirage,2,"0,1",0,15,65536,0.1475982666015625,0.0124405446009824,198.04,11.873093961414003,1.007324516785351,0.0603921361211292
mirage,2,"0,1",1,15,65536,0.1545867919921875,0.011898955074240172,198.04,11.873093961414003,1.007324516785351,0.0603921361211292
mirage,2,"0,1",0,20,65536,0.21026611328125,0.01450560438527447,265.65,15.595616057149531,1.013389791714351,0.05949346172712874
mirage,2,"0,1",1,20,65536,0.1950836181640625,0.01844792662367379,265.65,15.595616057149531,1.013389791714351,0.05949346172712874
mirage,2,"0,1",0,25,65536,0.243927001953125,0.019991189387275746,308.09,18.567066132213235,0.940216064453125,0.0566621891241859
mirage,2,"0,1",1,25,65536,0.2261810302734375,0.022322468154368308,308.09,18.567066132213235,0.940216064453125,0.0566621891241859
mirage,2,"0,1",0,30,65536,0.248992919921875,0.023523883675424396,341.5,22.067399958520102,0.8684926629536379,0.05612115652836932
mirage,2,"0,1",1,30,65536,0.2720947265625,0.02500978885209451,341.5,22.067399958520102,0.8684926629536379,0.05612115652836932
mirage,2,"0,1",0,35,65536,0.3092803955078125,0.024945034708052975,433.36,22.12375645689584,0.9446539509536784,0.04822617211312445
mirage,2,"0,1",1,35,65536,0.3519744873046875,0.022889320078039246,433.36,22.12375645689584,0.9446539509536784,0.04822617211312445
mirage,2,"0,1",0,40,65536,0.3622283935546875,0.031187143869158274,492.85,28.822461063860896,0.9400511177233539,0.054975320561266694
mirage,2,"0,1",1,40,65536,0.389801025390625,0.03180927404683829,492.85,28.822461063860896,0.9400511177233539,0.054975320561266694
mirage,4,0,0,1,32768,0.0391845703125,0.0035511286540862884,12.84,1.1636338373709951,3.926605504587156,0.3558513264131483
mirage,4,0,0,2,32768,0.07696533203125,0.005138813395626487,25.22,1.6838863734788874,3.850381679389313,0.2570818890807462
mirage,4,0,0,5,32768,0.18743896484375,0.011000755443392043,61.42,3.6047275436907045,3.749694749694749,0.22006883661115414
mirage,4,0,0,10,32768,0.385589599609375,0.014879932482920747,126.35,4.87585627600347,3.856837606837607,0.14883566166066756
mirage,4,0,0,15,32768,0.556243896484375,0.02008476550339871,182.27,6.5813759601536885,3.708443540183113,0.13390388525236396
mirage,4,0,0,20,32768,0.7423095703125,0.026791701154517227,243.24,8.779104634312203,3.7118876850297573,0.13397077116301243
mirage,4,0,0,25,32768,0.89447021484375,0.02647696101808112,293.1,8.675970586404821,3.577880859375,0.10590784407232448
mirage,4,0,0,30,32768,1.04852294921875,0.03577623590293707,343.58,11.723156980674418,3.4952187182095633,0.1192589723364641
mirage,4,0,0,35,32768,1.2200927734375,0.039657560632241594,399.8,12.994989467972925,3.48622253226369,0.1133152203346087
mirage,4,0,0,40,32768,1.374053955078125,0.045450666113735876,450.25,14.893274272148975,3.4351873044937817,0.11362839911611333
mirage,4,"0,1,2,3",0,1,32768,0.00958251953125,0.0021322384179984803,13.31,1.2698264505614358,1.016030534351145,0.09693331683675083
mirage,4,"0,1,2,3",1,1,32768,0.010528564453125,0.002042831399335963,13.31,1.2698264505614358,1.016030534351145,0.09693331683675083
mirage,4,"0,1,2,3",2,1,32768,0.01043701171875,0.0021358962412150453,13.31,1.2698264505614358,1.016030534351145,0.09693331683675083
mirage,4,"0,1,2,3",3,1,32768,0.01007080078125,0.0022372443799948396,13.31,1.2698264505614358,1.016030534351145,0.09693331683675083
mirage,4,"0,1,2,3",0,2,32768,0.018798828125,0.0030696983510480748,26.28,2.213647738165869,1.0026707363601677,0.08445813575604232
mirage,4,"0,1,2,3",1,2,32768,0.01959228515625,0.003481716249386994,26.28,2.213647738165869,1.0026707363601677,0.08445813575604232
mirage,4,"0,1,2,3",2,2,32768,0.021453857421875,0.0028798599508023637,26.28,2.213647738165869,1.0026707363601677,0.08445813575604232
mirage,4,"0,1,2,3",3,2,32768,0.020355224609375,0.003218362552311945,26.28,2.213647738165869,1.0026707363601677,0.08445813575604232
mirage,4,"0,1,2,3",0,5,32768,0.046173095703125,0.00611567273295799,63.04,4.85220582707317,0.9620021364260642,0.07404556427702075
mirage,4,"0,1,2,3",1,5,32768,0.047271728515625,0.006685835059786304,63.04,4.85220582707317,0.9620021364260642,0.07404556427702075
mirage,4,"0,1,2,3",2,5,32768,0.046173095703125,0.006946771354560612,63.04,4.85220582707317,0.9620021364260642,0.07404556427702075
mirage,4,"0,1,2,3",3,5,32768,0.052764892578125,0.0062383244764266065,63.04,4.85220582707317,0.9620021364260642,0.07404556427702075
mirage,4,"0,1,2,3",0,10,32768,0.088226318359375,0.013220579693088461,121.33,7.4788861927725865,0.9256885633630882,0.05706024408920872
mirage,4,"0,1,2,3",1,10,32768,0.09674072265625,0.010400031201113696,121.33,7.4788861927725865,0.9256885633630882,0.05706024408920872
mirage,4,"0,1,2,3",2,10,32768,0.093475341796875,0.011722626305732889,121.33,7.4788861927725865,0.9256885633630882,0.05706024408920872
mirage,4,"0,1,2,3",3,10,32768,0.091827392578125,0.012927576830659848,121.33,7.4788861927725865,0.9256885633630882,0.05706024408920872
mirage,4,"0,1,2,3",0,15,32768,0.149810791015625,0.018025936094419475,186.32,11.427473213358244,0.9477110885045777,0.0581254995592993
mirage,4,"0,1,2,3",1,15,32768,0.146453857421875,0.018201586224221366,186.32,11.427473213358244,0.9477110885045777,0.0581254995592993
mirage,4,"0,1,2,3",2,15,32768,0.132965087890625,0.017187492578590688,186.32,11.427473213358244,0.9477110885045777,0.0581254995592993
mirage,4,"0,1,2,3",3,15,32768,0.139373779296875,0.019390869736765813,186.32,11.427473213358244,0.9477110885045777,0.0581254995592993
mirage,4,"0,1,2,3",0,20,32768,0.204193115234375,0.02120359664168054,262.04,14.46877353651335,0.9996185244525825,0.055194833052999735
mirage,4,"0,1,2,3",1,20,32768,0.206390380859375,0.021564674182317237,262.04,14.46877353651335,0.9996185244525825,0.055194833052999735
mirage,4,"0,1,2,3",2,20,32768,0.19482421875,0.02351406869180751,262.04,14.46877353651335,0.9996185244525825,0.055194833052999735
mirage,4,"0,1,2,3",3,20,32768,0.19427490234375,0.023284330578646796,262.04,14.46877353651335,0.9996185244525825,0.055194833052999735
mirage,4,"0,1,2,3",0,25,32768,0.254180908203125,0.030999618980948558,313.59,20.63740187308255,0.957000732421875,0.0629803523958818
mirage,4,"0,1,2,3",1,25,32768,0.2445068359375,0.028771830298862995,313.59,20.63740187308255,0.957000732421875,0.0629803523958818
mirage,4,"0,1,2,3",2,25,32768,0.233428955078125,0.03274997469121186,313.59,20.63740187308255,0.957000732421875,0.0629803523958818
mirage,4,"0,1,2,3",3,25,32768,0.224884033203125,0.029595496632583457,313.59,20.63740187308255,0.957000732421875,0.0629803523958818
mirage,4,"0,1,2,3",0,30,32768,0.2918701171875,0.03350132818456017,376.48,21.559612676043372,0.957452760611378,0.05482976698467327
mirage,4,"0,1,2,3",1,30,32768,0.29315185546875,0.033008419928463,376.48,21.559612676043372,0.957452760611378,0.05482976698467327
mirage,4,"0,1,2,3",2,30,32768,0.282958984375,0.03181177056748413,376.48,21.559612676043372,0.957452760611378,0.05482976698467327
mirage,4,"0,1,2,3",3,30,32768,0.28094482421875,0.03477705516907981,376.48,21.559612676043372,0.957452760611378,0.05482976698467327
mirage,4,"0,1,2,3",0,35,32768,0.32769775390625,0.03713694105919104,389.17,24.891104476056896,0.8483269754768392,0.05425853836742648
mirage,4,"0,1,2,3",1,35,32768,0.300048828125,0.03862343474391398,389.17,24.891104476056896,0.8483269754768392,0.05425853836742648
mirage,4,"0,1,2,3",2,35,32768,0.296783447265625,0.03761205858002735,389.17,24.891104476056896,0.8483269754768392,0.05425853836742648
mirage,4,"0,1,2,3",3,35,32768,0.26312255859375,0.0403122484736817,389.17,24.891104476056896,0.8483269754768392,0.05425853836742648
mirage,4,"0,1,2,3",0,40,32768,0.383697509765625,0.04310682204076842,494.25,27.57196675808766,0.9427214465552758,0.05259015556208069
mirage,4,"0,1,2,3",1,40,32768,0.432525634765625,0.045532052478172894,494.25,27.57196675808766,0.9427214465552758,0.05259015556208069
mirage,4,"0,1,2,3",2,40,32768,0.326202392578125,0.04410204085128249,494.25,27.57196675808766,0.9427214465552758,0.05259015556208069
mirage,4,"0,1,2,3",3,40,32768,0.36590576171875,0.03976580946177137,494.25,27.57196675808766,0.9427214465552758,0.05259015556208069
