cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
scatter,1,0,0,1,0.0,0.0,0.01,0.0196,0.01
scatter,1,0,0,2,0.0,0.0,0.03,0.033603535167561996,0.03
scatter,1,0,0,5,0.26,0.1382284684677852,0.51,0.18372706590884952,0.25
scatter,1,0,0,10,4.75,0.6093091633691853,6.12,0.6599989666352486,1.37
scatter,1,0,0,15,26.08,1.1968278179665552,31.53,1.4922898361751025,5.450000000000003
scatter,1,0,0,20,85.75,2.432196322153076,102.5,2.7817105703091576,16.75
scatter,1,0,0,25,224.52,4.398290888630504,259.99,4.306281341050864,35.47
scatter,1,0,0,30,482.38,6.032369540431293,532.83,7.101556296753522,50.450000000000045
scatter,1,0,0,35,903.95,9.443625624160084,993.16,9.271380317967981,89.20999999999992
scatter,1,0,0,40,1543.3,10.733138917870345,1679.63,11.534774639735922,136.33000000000015
scatter,2,0,0,1,0.0,0.0,0.0,0.0,0.0
scatter,2,0,0,2,0.02,0.0392,0.03,0.033603535167561996,0.009999999999999998
scatter,2,0,0,5,0.14,0.08366749003578922,0.52,0.14335487364571814,0.38
scatter,2,0,0,10,2.66,0.387239375241431,5.59,0.5205054559723363,2.9299999999999997
scatter,2,0,0,15,15.45,1.0826694096099003,23.57,1.2393796108529378,8.120000000000001
scatter,2,0,0,20,51.19,1.9195298831019048,69.57,2.2551841246247717,18.379999999999995
scatter,2,0,0,25,127.77,3.0194841946293014,166.68,3.3513203852882354,38.91000000000001
scatter,2,0,0,30,268.05,3.8030688883712025,330.72,4.860688235925926,62.670000000000016
scatter,2,0,0,35,492.61,5.797583833761695,592.33,7.061720122497411,99.72000000000003
scatter,2,0,0,40,835.1,7.714490827479979,972.38,8.843650195330756,137.27999999999997
scatter,2,"0,1",0,1,0.0,0.0,0.0,0.0,0.0
scatter,2,"0,1",0,2,0.03,0.04364949465730827,0.0,0.0,-0.03
scatter,2,"0,1",0,5,0.26,0.12339653744957942,0.16,0.08685335603501718,-0.1
scatter,2,"0,1",0,10,2.14,0.3468545038898686,2.62,0.40252968972625,0.48
scatter,2,"0,1",0,15,12.07,1.0053134400411012,15.08,0.8512409346882285,3.01
scatter,2,"0,1",0,20,44.01,1.8755218959591544,50.73,1.5308989217733706,6.719999999999999
scatter,2,"0,1",0,25,111.55,2.8507250256236873,126.47,2.995045090906923,14.920000000000002
scatter,2,"0,1",0,30,243.61,4.60292565355136,268.93,4.828503024350468,25.319999999999993
scatter,2,"0,1",0,35,455.92,5.232504800038337,498.0,7.406464727356484,42.079999999999984
scatter,2,"0,1",0,40,775.34,8.713847652994398,843.28,7.3249699544734925,67.93999999999994
scatter,2,"0,1",1,1,0.0,0.0,0.0,0.0,0.0
scatter,2,"0,1",1,2,0.0,0.0,0.02,0.027578237650712774,0.02
scatter,2,"0,1",1,5,0.05,0.0429324110572877,0.15,0.09395700714645605,0.09999999999999999
scatter,2,"0,1",1,10,2.29,0.395248259025421,3.35,0.47716109132106216,1.06
scatter,2,"0,1",1,15,12.38,0.9137243630970839,15.14,0.9694582921415549,2.76
scatter,2,"0,1",1,20,43.41,1.7933634869606432,51.41,1.844773176060166,8.0
scatter,2,"0,1",1,25,111.31,2.9562153634590826,128.89,2.854196691529754,17.579999999999984
scatter,2,"0,1",1,30,237.48,3.853758537093654,266.62,4.747256033550414,29.140000000000015
scatter,2,"0,1",1,35,453.01,5.821002683456525,498.76,6.674828848742116,45.75
scatter,2,"0,1",1,40,768.63,7.499435467615498,833.02,8.716552964876367,64.38999999999999
scatter,4,0,0,1,0.01,0.0196,0.04,0.04760415905775418,0.03
scatter,4,0,0,2,0.04,0.03860149157111874,0.13,0.09910248546965221,0.09
scatter,4,0,0,5,0.22,0.10266049568230895,0.99,0.25758693423166606,0.77
scatter,4,0,0,10,2.73,0.3746439570384855,6.62,0.5714536572848602,3.89
scatter,4,0,0,15,10.91,0.8348618408655012,24.13,1.182467702849777,13.219999999999999
scatter,4,0,0,20,35.29,1.593357859073318,60.23,1.8922801898153658,24.939999999999998
scatter,4,0,0,25,82.37,2.3193801787842747,128.61,2.4510324450869043,46.24000000000001
scatter,4,0,0,30,166.48,3.38846749925912,236.12,3.7833154304208643,69.64000000000001
scatter,4,0,0,35,297.14,4.303173666310046,408.11,5.534182100510984,110.97000000000003
scatter,4,0,0,40,488.31,5.640840046186975,642.13,6.284401999756655,153.82
scatter,4,"0,1,2,3",0,1,0.0,0.0,0.0,0.0,0.0
scatter,4,"0,1,2,3",0,2,0.0,0.0,0.0,0.0,0.0
scatter,4,"0,1,2,3",0,5,0.07,0.06967342000035201,0.13,0.08656246416328617,0.06
scatter,4,"0,1,2,3",0,10,0.9,0.23883454397121745,1.34,0.29642514922136604,0.44000000000000006
scatter,4,"0,1,2,3",0,15,5.86,0.6383243265445755,8.06,0.7057649638813365,2.2
scatter,4,"0,1,2,3",0,20,21.91,1.3191083728768986,26.04,1.4191080334157264,4.129999999999999
scatter,4,"0,1,2,3",0,25,55.2,2.305173592797144,64.58,1.8056730516051154,9.379999999999995
scatter,4,"0,1,2,3",0,30,118.73,3.1043934903665646,134.96,3.3552594706751906,16.230000000000004
scatter,4,"0,1,2,3",0,35,226.36,4.267905824602596,245.31,4.31790789951417,18.94999999999999
scatter,4,"0,1,2,3",0,40,387.0,6.027814800798651,418.28,6.745263192864316,31.279999999999973
scatter,4,"0,1,2,3",1,1,0.0,0.0,0.0,0.0,0.0
scatter,4,"0,1,2,3",1,2,0.0,0.0,0.0,0.0,0.0
scatter,4,"0,1,2,3",1,5,0.05,0.04293241105728769,0.09,0.06877654051529872,0.039999999999999994
scatter,4,"0,1,2,3",1,10,1.02,0.26425697930444736,1.73,0.31003465690926957,0.71
scatter,4,"0,1,2,3",1,15,6.85,0.6403605991702619,7.05,0.7088126079093916,0.20000000000000018
scatter,4,"0,1,2,3",1,20,20.94,1.331617419501259,24.12,1.2681706261263492,3.1799999999999997
scatter,4,"0,1,2,3",1,25,54.05,1.8709397303888426,63.78,2.1125611880684856,9.730000000000004
scatter,4,"0,1,2,3",1,30,119.39,3.337631260446107,132.47,3.1752824905109547,13.079999999999998
