cache,num_banks,target_banks,bank,occupancy_pct,capacity_per_bank_lines,mean_capacity_normalized_delta_pct,ci95_capacity_normalized_delta_pct,mean_aggregate_raw_delta_misses,ci95_aggregate_raw_delta_misses,mean_aggregate_excess_miss_rate_pct,ci95_aggregate_excess_miss_rate_pct
scatter,1,0,0,1,131072,7.62939453125e-06,1.4953613281250001e-05,0.01,0.0196,0.0007633587786259542,0.00149618320610687
scatter,1,0,0,2,131072,2.288818359375e-05,2.5637462743806454e-05,0.03,0.033603535167561996,0.0011446012972148034,0.0012820883314598242
scatter,1,0,0,5,131072,0.00019073486328125,0.00015085200095143596,0.25,0.19772473468706614,0.003815046543567831,0.0030173162625830334
scatter,1,0,0,10,131072,0.00104522705078125,0.0006625209112320047,1.37,0.8683794087700131,0.010452429999237046,0.006625310206530961
scatter,1,0,0,15,131072,0.00415802001953125,0.0013661263061003936,5.45,1.790609071931908,0.027721261444557475,0.009107879307893734
scatter,1,0,0,20,131072,0.01277923583984375,0.0025545120513296576,16.75,3.3482500359188085,0.06389715419241628,0.012772755153424919
scatter,1,0,0,25,131072,0.02706146240234375,0.004821526700845972,35.47,6.319671477332832,0.108245849609375,0.019286106803383888
scatter,1,0,0,30,131072,0.03849029541015625,0.006590510204240491,50.45,8.638313534902094,0.12830294244805573,0.02196870256326669
scatter,1,0,0,35,131072,0.06806182861328125,0.008019299986588749,89.21,10.511056878421604,0.19446321525885557,0.022912385566041645
scatter,1,0,0,40,131072,0.10401153564453125,0.011194236258883246,136.33,14.672509349243446,0.26003280689707786,0.02798601767994859
scatter,2,0,0,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
scatter,2,0,0,2,65536,1.52587890625e-05,7.946888713733696e-05,0.01,0.052080729874325125,0.0007633587786259542,0.003975628234681308
scatter,2,0,0,5,65536,0.000579833984375,0.00025779791686513203,0.38,0.16895044279673294,0.011599511599511598,0.005157217423587695
scatter,2,0,0,10,65536,0.0044708251953125,0.0009402453138788935,2.93,0.6161991689036717,0.04471234549061497,0.009403314037901293
scatter,2,0,0,15,65536,0.01239013671875,0.002399847527699576,8.12,1.572764075753194,0.08260427263479146,0.015999634544793424
scatter,2,0,0,20,65536,0.028045654296875,0.004126759426172189,18.38,2.704513057536206,0.1402304112306401,0.020634111982423178
scatter,2,0,0,25,65536,0.0593719482421875,0.006712418950921825,38.91,4.399050883676127,0.23748779296875,0.0268496758036873
scatter,2,0,0,30,65536,0.0956268310546875,0.009189465971887687,62.67,6.022408419336314,0.31876907426246187,0.030632799691435987
scatter,2,0,0,35,65536,0.15216064453125,0.012556940406732931,99.72,8.229316464956494,0.43475607097702407,0.03587791108234073
scatter,2,0,0,40,65536,0.20947265625,0.016580631619891394,137.28,10.866282738412023,0.5236896314946211,0.04145221156028086
scatter,2,"0,1",0,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
scatter,2,"0,1",1,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
scatter,2,"0,1",0,2,65536,-4.57763671875e-05,6.660384316605877e-05,-0.01,0.052080729874325146,-0.0003815337657382678,0.0019870556991348773
scatter,2,"0,1",1,2,65536,3.0517578125e-05,4.2081051102772187e-05,-0.01,0.052080729874325146,-0.0003815337657382678,0.0019870556991348773
scatter,2,"0,1",0,5,65536,-0.000152587890625,0.00021465629617735838,0.0,0.1909863816605728,0.0,0.0029144877408907796
scatter,2,"0,1",1,5,65536,0.000152587890625,0.00016186671103276954,0.0,0.1909863816605728,0.0,0.0029144877408907796
scatter,2,"0,1",0,10,65536,0.000732421875,0.0008258867801014064,1.54,0.769724373074577,0.011749446860456248,0.005872620531582947
scatter,2,"0,1",1,10,65536,0.001617431640625,0.0009398272316266443,1.54,0.769724373074577,0.011749446860456248,0.005872620531582947
scatter,2,"0,1",0,15,65536,0.0045928955078125,0.0017269535154146483,5.77,1.7018287352258465,0.029348931841302134,0.00865630078955161
scatter,2,"0,1",1,15,65536,0.00421142578125,0.001854900843069604,5.77,1.7018287352258465,0.029348931841302134,0.00865630078955161
scatter,2,"0,1",0,20,65536,0.01025390625,0.00318218705298084,14.72,3.0726348817859366,0.05615320057984283,0.011721350735431206
scatter,2,"0,1",1,20,65536,0.01220703125,0.0035233185454633755,14.72,3.0726348817859366,0.05615320057984283,0.011721350735431206
scatter,2,"0,1",0,25,65536,0.02276611328125,0.005512437409710289,32.5,5.5010299862017575,0.09918212890625,0.016787811237187984
scatter,2,"0,1",1,25,65536,0.026824951171875,0.005957407792115769,32.5,5.5010299862017575,0.09918212890625,0.016787811237187984
scatter,2,"0,1",0,30,65536,0.03863525390625,0.009571433955289673,54.46,8.934043471005621,0.13850105541568117,0.022720794158352084
scatter,2,"0,1",1,30,65536,0.044464111328125,0.008780097500164065,54.46,8.934043471005621,0.13850105541568117,0.022720794158352084
