cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
ceaser_s,1,0,0,1,0.0,0.0,0.0,0.0,0.0
ceaser_s,1,0,0,2,0.0,0.0,0.02,0.027578237650712777,0.02
ceaser_s,1,0,0,5,0.22,0.09479987213902644,0.33,0.13376301069541993,0.11000000000000001
ceaser_s,1,0,0,10,3.8,0.4413573187659664,5.89,0.6032415855236196,2.09
ceaser_s,1,0,0,15,25.15,1.3540287659388552,33.22,1.6683752289717275,8.07
ceaser_s,1,0,0,20,86.73,2.451501018980128,103.58,3.1328034718978706,16.849999999999994
ceaser_s,1,0,0,25,225.86,4.0102321661802405,258.27,4.056013860674023,32.40999999999997
ceaser_s,1,0,0,30,478.31,6.217360554532004,537.39,5.844380808671494,59.079999999999984
ceaser_s,1,0,0,35,908.61,8.922285776706108,998.85,8.021736417479394,90.24000000000001
ceaser_s,1,0,0,40,1550.87,11.74066969893089,1682.89,10.419010207473372,132.0200000000002
ceaser_s,2,0,0,1,0.0,0.0,0.02,0.027578237650712777,0.02
ceaser_s,2,0,0,2,0.0,0.0,0.05,0.0645866421439785,0.05
ceaser_s,2,0,0,5,0.18,0.08975365612541245,0.38,0.13001169178193167,0.2
ceaser_s,2,0,0,10,3.05,0.47634716989043424,5.11,0.4473783186521224,2.0600000000000005
ceaser_s,2,0,0,15,15.9,1.02641594734771,23.1,1.3434194874245047,7.200000000000001
ceaser_s,2,0,0,20,51.21,1.9854327911266119,71.43,2.0931254291662076,20.220000000000006
ceaser_s,2,0,0,25,130.19,2.9422686331290264,167.6,3.449923951731005,37.41
ceaser_s,2,0,0,30,271.47,4.268445404040296,333.6,5.021131459274207,62.129999999999995
ceaser_s,2,0,0,35,502.09,5.8728086057350755,594.08,6.080927060635382,91.99000000000007
ceaser_s,2,0,0,40,836.0,7.633764190566256,976.88,9.252215010231634,140.88
ceaser_s,2,"0,1",0,1,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",0,2,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",0,5,0.18,0.10190172330300018,0.15,0.08529805141829197,-0.03
ceaser_s,2,"0,1",0,10,2.28,0.37071335219404966,3.39,0.46523656022468496,1.1100000000000003
ceaser_s,2,"0,1",0,15,12.97,0.9716312980724423,15.13,0.9926504311104886,2.16
ceaser_s,2,"0,1",0,20,43.34,1.61486911325014,53.28,1.8863702159213478,9.939999999999998
ceaser_s,2,"0,1",0,25,111.59,2.6970871587359175,130.15,3.0382554470643446,18.560000000000002
ceaser_s,2,"0,1",0,30,240.84,4.124590899872754,269.38,4.661471420879545,28.539999999999992
ceaser_s,2,"0,1",0,35,453.38,6.709888611699462,501.91,5.74481593189139,48.53000000000003
ceaser_s,2,"0,1",0,40,769.0,8.240527569656122,836.4,8.1732448658023,67.39999999999998
ceaser_s,2,"0,1",1,1,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",1,2,0.0,0.0,0.0,0.0,0.0
ceaser_s,2,"0,1",1,5,0.06,0.05444840389642919,0.11,0.06763871941156459,0.05
ceaser_s,2,"0,1",1,10,2.05,0.3903881000835818,2.94,0.45505371244735626,0.8900000000000001
ceaser_s,2,"0,1",1,15,11.97,0.828497767716432,15.7,1.0958946347642415,3.7299999999999986
ceaser_s,2,"0,1",1,20,43.22,1.8313643271031186,52.26,2.1464614710887977,9.04
ceaser_s,2,"0,1",1,25,116.14,3.081958554509968,128.34,3.0799685801886834,12.200000000000003
ceaser_s,2,"0,1",1,30,241.1,4.941557910806933,268.92,4.885659532579284,27.82000000000002
ceaser_s,2,"0,1",1,35,452.53,6.475971573736129,494.64,6.829103270650703,42.110000000000014
ceaser_s,2,"0,1",1,40,782.96,8.53794074327982,843.55,8.014234999440847,60.58999999999992
ceaser_s,4,0,0,1,0.03,0.043649494657308274,0.07,0.05746497923417217,0.04000000000000001
ceaser_s,4,0,0,2,0.02,0.027578237650712774,0.17,0.0838296589350793,0.15000000000000002
ceaser_s,4,0,0,5,0.24,0.104681712873362,0.98,0.21028809867523282,0.74
ceaser_s,4,0,0,10,3.04,0.426076076101748,6.52,0.6055432769026672,3.4799999999999995
ceaser_s,4,0,0,15,11.22,0.7960729026054248,23.27,1.144513814824108,12.049999999999999
ceaser_s,4,0,0,20,34.53,1.5671224564581268,59.01,1.9797960098980094,24.479999999999997
ceaser_s,4,0,0,25,82.89,2.3246008642736538,128.46,2.8142904257386165,45.57000000000001
ceaser_s,4,0,0,30,161.54,3.557509759833855,238.65,4.468651946865209,77.11000000000001
ceaser_s,4,0,0,35,295.78,3.890845970903105,406.87,6.394033877124689,111.09000000000003
ceaser_s,4,0,0,40,493.76,7.198272590087994,641.86,6.648552482117799,148.10000000000002
ceaser_s,4,"0,1,2,3",0,1,0.0,0.0,0.0,0.0,0.0
ceaser_s,4,"0,1,2,3",0,2,0.0,0.0,0.0,0.0,0.0
ceaser_s,4,"0,1,2,3",0,5,0.02,0.027578237650712777,0.15,0.098,0.13
ceaser_s,4,"0,1,2,3",0,10,0.89,0.25968739248985856,1.15,0.23203578616369946,0.2599999999999999
ceaser_s,4,"0,1,2,3",0,15,6.32,0.6197312887881572,7.74,0.7410602549146333,1.42
ceaser_s,4,"0,1,2,3",0,20,22.06,1.138723555459171,26.2,1.366189717218785,4.140000000000001
ceaser_s,4,"0,1,2,3",0,25,56.59,2.026213513533123,63.59,2.0462232740521564,7.0
ceaser_s,4,"0,1,2,3",0,30,118.41,3.4120465896140653,133.87,3.3994634231379117,15.460000000000008
ceaser_s,4,"0,1,2,3",0,35,226.25,4.0384221091056265,249.33,4.353203861084571,23.080000000000013
ceaser_s,4,"0,1,2,3",0,40,389.0,5.359940237869761,422.13,5.974641838688412,33.129999999999995
ceaser_s,4,"0,1,2,3",1,1,0.0,0.0,0.0,0.0,0.0
