cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
mirage,1,0,0,1,19.79,0.8279542845916902,32.63,0.8728365285988927,12.840000000000003
mirage,1,0,0,2,51.58,1.5375571000647734,79.56,1.9072857922538335,27.980000000000004
mirage,1,0,0,5,230.24,2.6440554171365034,295.37,3.2148991359203505,65.13
mirage,1,0,0,10,809.03,5.254393569522018,933.27,5.397372764708041,124.24000000000001
mirage,1,0,0,15,1736.66,7.555499365162417,1917.33,8.725232922571827,180.66999999999985
mirage,1,0,0,20,3025.35,11.284692574680557,3287.85,10.296333404457995,262.5
mirage,1,0,0,25,4703.81,12.742838257268632,5009.08,14.131171220326426,305.2699999999995
mirage,1,0,0,30,6737.34,13.286219587971516,7110.56,14.367698443664555,373.22000000000025
mirage,1,0,0,35,9190.13,18.16477428146482,9604.1,18.32985596553262,413.97000000000116
mirage,1,0,0,40,12001.08,21.342087110683437,12461.88,18.8330119728442,460.7999999999993
mirage,2,0,0,1,16.67,0.7780653666289709,30.93,1.2305817962133672,14.259999999999998
mirage,2,0,0,2,39.33,1.129222498943947,63.6,1.609279856509009,24.270000000000003
mirage,2,0,0,5,146.84,2.528311751650764,212.2,2.773398076167374,65.35999999999999
mirage,2,0,0,10,463.83,4.259581657459527,592.78,4.962486297016931,128.95
mirage,2,0,0,15,958.78,5.598434920690972,1148.85,6.671703657760115,190.06999999999994
mirage,2,0,0,20,1644.8,7.9149728357018985,1888.0,7.707772826140761,243.20000000000005
mirage,2,0,0,25,2506.45,10.049770904469575,2810.43,10.225231367889368,303.98
mirage,2,0,0,30,3568.45,11.294041813489468,3922.5,11.818604481020078,354.0500000000002
mirage,2,0,0,35,4794.3,13.687166774136651,5198.54,13.18393113667413,404.2399999999998
mirage,2,0,0,40,6235.98,14.530248168283952,6702.96,15.432600832620206,466.9800000000005
mirage,2,"0,1",0,1,10.25,0.6379321074670672,16.12,0.7082128950015416,5.870000000000001
mirage,2,"0,1",0,2,26.45,1.036151913514031,39.61,1.0963884727742823,13.16
mirage,2,"0,1",0,5,115.93,2.3116042620315493,149.32,2.6232452030939757,33.389999999999986
mirage,2,"0,1",0,10,399.85,3.8706272036318543,465.77,4.255553210200582,65.91999999999996
mirage,2,"0,1",0,15,863.87,5.801047168582687,960.6,6.600460002335008,96.73000000000002
mirage,2,"0,1",0,20,1507.42,7.6537242679164335,1645.22,7.013337264199842,137.79999999999995
mirage,2,"0,1",0,25,2347.56,10.279471327364119,2507.42,10.158829331744636,159.86000000000013
mirage,2,"0,1",0,30,3394.43,11.979531732370372,3557.61,13.360710812700272,163.1800000000003
mirage,2,"0,1",0,35,4596.68,15.48130272888669,4799.37,14.97305593153545,202.6899999999996
mirage,2,"0,1",0,40,6003.08,18.80654573929089,6240.47,18.385447433195306,237.39000000000033
mirage,2,"0,1",1,1,9.9,0.5441275845634259,16.28,0.725962089334915,6.380000000000001
mirage,2,"0,1",1,2,26.22,1.0031205581291882,38.82,1.1885966436996787,12.600000000000001
mirage,2,"0,1",1,5,117.19,2.5522902653075805,149.51,2.5213611520347294,32.31999999999999
mirage,2,"0,1",1,10,403.82,3.886135787019222,462.94,4.784468603785174,59.120000000000005
mirage,2,"0,1",1,15,863.89,6.297863159048552,965.2,6.074051821918671,101.31000000000006
mirage,2,"0,1",1,20,1513.59,9.110197994854698,1641.44,8.20056111053852,127.85000000000014
mirage,2,"0,1",1,25,2353.22,10.783637894888756,2501.45,10.68414305256518,148.23000000000002
mirage,2,"0,1",1,30,3376.65,11.566478676317049,3554.97,13.953592016655524,178.3199999999997
mirage,2,"0,1",1,35,4577.53,14.11902254842127,4808.2,13.58964743226745,230.67000000000007
mirage,2,"0,1",1,40,5982.5,18.939548297067955,6237.96,15.016460871505462,255.46000000000004
mirage,4,0,0,1,14.23,0.7952316183783733,27.07,0.9173164647850035,12.84
mirage,4,0,0,2,31.87,0.9191758548401998,57.09,1.4531997820205749,25.220000000000002
mirage,4,0,0,5,107.39,2.0065457243328355,168.81,2.763965045021555,61.42
mirage,4,0,0,10,292.36,2.95986549080129,418.71,3.593851103192674,126.34999999999997
mirage,4,0,0,15,574.85,4.810961335294326,757.12,4.959177555794811,182.26999999999998
mirage,4,0,0,20,938.07,5.670313015926533,1181.31,6.091129491914675,243.2399999999999
mirage,4,0,0,25,1404.7,6.98733537165346,1697.8,5.992368722724838,293.0999999999999
mirage,4,0,0,30,1959.96,7.831924204294763,2303.54,8.515254303479685,343.5799999999999
mirage,4,0,0,35,2611.36,8.840479012937127,3011.16,9.458625807807454,399.7999999999997
mirage,4,0,0,40,3340.5,10.153683608832946,3790.75,10.231647341124072,450.25
mirage,4,"0,1,2,3",0,1,4.89,0.44126499333556285,8.03,0.5433818398128372,3.1399999999999997
mirage,4,"0,1,2,3",0,2,13.11,0.629062575294671,19.27,0.8581306166030409,6.16
mirage,4,"0,1,2,3",0,5,57.89,1.5682214742577758,73.02,1.779436476908781,15.129999999999995
mirage,4,"0,1,2,3",0,10,203.26,3.0239486190921117,232.17,3.638891786233714,28.909999999999997
mirage,4,"0,1,2,3",0,15,435.47,4.297979584724323,484.56,4.924789303025249,49.089999999999975
mirage,4,"0,1,2,3",0,20,754.12,6.897444955836029,821.03,5.826330548657725,66.90999999999997
mirage,4,"0,1,2,3",0,25,1174.85,8.236918564265611,1258.14,8.177327809711112,83.29000000000019
mirage,4,"0,1,2,3",0,30,1686.3,9.31812925257408,1781.94,9.12797326140968,95.6400000000001
mirage,4,"0,1,2,3",0,35,2296.47,10.617254376273795,2403.85,10.956339082969736,107.38000000000011
mirage,4,"0,1,2,3",0,40,2996.55,12.815583019168972,3122.28,12.814302313564884,125.73000000000002
mirage,4,"0,1,2,3",1,1,4.67,0.46869345326269823,8.12,0.5635905899953557,3.4499999999999993
mirage,4,"0,1,2,3",1,2,12.94,0.7024583257346584,19.36,0.9262682413585683,6.42
mirage,4,"0,1,2,3",1,5,57.59,1.4486532479262497,73.08,1.884023691545048,15.489999999999995
mirage,4,"0,1,2,3",1,10,197.79,3.0296759993454914,229.49,2.747602988097447,31.700000000000017
mirage,4,"0,1,2,3",1,15,431.85,4.769160436882709,479.84,4.87524702201402,47.98999999999995
mirage,4,"0,1,2,3",1,20,750.68,5.703653406671407,818.31,6.2714861595070825,67.63
mirage,4,"0,1,2,3",1,25,1167.65,7.907977394039925,1247.77,7.665663572955532,80.11999999999989
mirage,4,"0,1,2,3",1,30,1680.69,8.755894129237987,1776.75,10.02905359040383,96.05999999999995
mirage,4,"0,1,2,3",1,35,2294.73,11.016858220202362,2393.05,12.087368939466845,98.32000000000016
mirage,4,"0,1,2,3",1,40,2976.11,12.658150973466492,3117.84,13.666972433770933,141.73000000000002
mirage,4,"0,1,2,3",2,1,4.71,0.4622241513168757,8.13,0.5073372452363816,3.420000000000001
mirage,4,"0,1,2,3",2,2,12.73,0.6253256715948543,19.76,0.8954242594683508,7.030000000000001
mirage,4,"0,1,2,3",2,5,58.78,1.7587302655810262,73.91,1.6961737184711718,15.129999999999995
