cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
normal,1,0,0,1,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,2,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,5,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,10,0.0,0.0,0.02,0.0392,0.02
normal,1,0,0,15,0.12,0.10152021045739182,0.19,0.1297577478662185,0.07
normal,1,0,0,20,1.79,0.43897264634874944,2.36,0.49011481483135333,0.5699999999999998
normal,1,0,0,25,9.61,1.1104552740005134,11.91,1.0619412139182574,2.3000000000000007
normal,1,0,0,30,37.09,2.106217374030199,44.48,2.257286650790808,7.3899999999999935
normal,1,0,0,35,107.54,3.695750545606878,126.84,4.059348038214208,19.299999999999997
normal,1,0,0,40,264.68,5.994238577403162,300.62,6.668993043309999,35.94
normal,2,0,0,1,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,2,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,5,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,10,0.02,0.0392,0.01,0.0196,-0.01
normal,2,0,0,15,0.19,0.12363216213894954,0.35,0.16801767583780997,0.15999999999999998
normal,2,0,0,20,1.26,0.32322747157975046,2.28,0.46705545017198286,1.0199999999999998
normal,2,0,0,25,6.44,0.7636000476213137,9.9,1.0065651965717346,3.46
normal,2,0,0,30,22.81,1.3891998650484045,32.65,1.7648522071639068,9.84
normal,2,0,0,35,63.4,2.659257099874385,85.46,3.194892915547903,22.059999999999995
normal,2,0,0,40,149.92,4.330469755188929,193.4,4.586042945611161,43.48000000000002
normal,2,"0,1",0,1,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,2,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,5,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,10,0.03,0.033603535167561996,0.07,0.08921159502479867,0.04000000000000001
normal,2,"0,1",0,15,0.14,0.1079663546544651,0.27,0.18023002586201398,0.13
normal,2,"0,1",0,20,1.17,0.3491237192072909,1.74,0.4633351628479249,0.5700000000000001
normal,2,"0,1",0,25,6.03,0.7921025247384139,7.33,0.9100114871069852,1.2999999999999998
normal,2,"0,1",0,30,20.51,1.490478927300642,24.39,1.6995562006570768,3.879999999999999
